# proj_num,size,cyl_r,cyl_h,cav_r,cav_z,el_x,el_y,el_z
0.000000000000000000e+00,1.000000000000000056e-01,1.280539628283139386e+01,2.137157272890122428e+01,-6.018536252930754671e+00,-3.713405436407382965e+00,7.721179367279012995e-01,8.776841185132869816e-01,7.712366313725463884e-01
1.000000000000000000e+00,2.000000000000000111e-01,1.553111596290408158e+01,2.224516237220745296e+01,-7.299624502564918238e+00,3.425258838007190221e+00,1.039960872523945090e+00,8.592336945636671608e-01,1.013948832080019846e+00
2.000000000000000000e+00,3.000000000000000444e-01,1.862201364701051887e+01,4.335936329872885864e+01,-8.752346414094942517e+00,-1.277200820110120993e+01,1.129796322471139369e+00,8.736436557683207038e-01,8.099148172042700544e-01
3.000000000000000000e+00,4.000000000000000222e-01,2.400072832171801451e+01,4.901290102260770709e+01,-1.128034231120746611e+01,-1.942104928113962714e+01,1.106689922077737975e+00,8.620047839152988889e-01,1.141116413273556951e+00
4.000000000000000000e+00,5.000000000000000000e-01,2.443472995554032323e+01,5.334621540309447596e+01,-1.148432307910395167e+01,-2.256528753296891843e+00,1.207845203482676766e+00,1.119687565190502720e+00,8.784621705130801761e-01
5.000000000000000000e+00,5.999999999999999778e-01,2.242672397943537987e+01,5.083861189889065457e+01,-1.054056027033462861e+01,3.305440023873913447e+00,1.229041217112911699e+00,1.115518954046659683e+00,1.135152567891784425e+00
6.000000000000000000e+00,7.000000000000000666e-01,1.904149538586030843e+01,4.122376249447735574e+01,-8.949502831354344323e+00,-1.585653231890024806e+01,8.809448900047296416e-01,1.096104122495610955e+00,8.740465643262664841e-01
7.000000000000000000e+00,8.000000000000000444e-01,1.545991780156160367e+01,2.474159224778575705e+01,-7.266161366733953741e+00,-3.992653152294115326e+00,1.041978946420758945e+00,1.054523656748904026e+00,1.044595149309747395e+00
8.000000000000000000e+00,9.000000000000000222e-01,1.421612515356279616e+01,3.286466545167638031e+01,-6.681578822174513377e+00,-1.686222219890749052e+00,1.235154013009403418e+00,1.183716393427651337e+00,1.122333150124219747e+00
9.000000000000000000e+00,1.000000000000000000e+00,1.360647099312457442e+01,4.499844548421889812e+01,-6.395041366768549729e+00,1.795787186400794511e+01,7.896689827947962481e-01,1.220875634420928613e+00,7.974957608058248493e-01
