Energy_kV,Spectrum_fraction
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,1
29,2
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,1
55,1
56,1
57,2
58,10
59,18
60,4
61,5
62,6
63,7
64,8
65,9
66,11
67,31
68,20
69,26
70,15
71,16
72,18
73,19
74,21
75,23
76,25
77,27
78,29
79,31
80,33
81,35
82,37
83,39
84,40
85,42
86,44
87,46
88,48
89,50
90,51
91,53
92,55
93,56
94,58
95,59
96,60
97,62
98,63
99,64
100,65
101,66
102,67
103,69
104,69
105,70
106,71
107,71
108,72
109,73
110,73
111,74
112,74
113,75
114,75
115,75
116,76
117,76
118,76
119,76
120,77
121,77
122,76
123,76
124,77
125,77
126,77
127,76
128,76
129,76
130,76
131,76
132,76
133,75
134,75
135,75
136,75
137,75
138,74
139,74
140,74
141,73
142,73
143,73
144,72
145,72
146,71
147,71
148,70
149,70
150,69
151,69
152,68
153,68
154,67
155,67
156,66
157,66
158,65
159,65
160,64
161,63
162,63
163,62
164,62
165,61
166,61
167,60
168,59
169,59
170,58
171,58
172,57
173,57
174,56
175,56
176,55
177,54
178,54
179,53
180,53
181,52
182,52
183,51
184,50
185,50
186,49
187,49
188,48
189,48
190,47
191,47
192,46
193,46
194,45
195,45
196,44
197,43
198,43
199,42
200,42
201,41
202,41
203,40
204,40
205,39
206,39
207,38
208,38
209,37
210,37
211,36
212,36
213,35
214,35
215,34
216,34
217,33
218,33
219,32
220,32
221,31
222,31
223,31
224,30
225,30
226,29
227,29
228,28
229,28
230,27
231,27
232,27
233,26
234,26
235,25
236,25
237,24
238,24
239,24
240,23
241,23
242,22
243,22
244,22
245,21
246,21
247,20
248,20
249,20
250,19
251,19
252,19
253,18
254,18
255,17
256,17
257,17
258,16
259,16
260,16
261,15
262,15
263,14
264,14
265,14
266,13
267,13
268,13
269,12
270,12
271,12
272,11
273,11
274,11
275,10
276,10
277,9
278,9
279,9
280,8
281,8
282,8
283,7
284,7
285,7
286,6
287,6
288,6
289,5
290,5
291,4
292,4
293,3
294,3
295,3
296,2
297,2
298,1
299,0
300,0
